name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
boston gold,vodka,1 1/2 oz,vodka,1/2 oz,creme de banana,2 oz,fresh orange juice,,,,,,,highball glass
corpse reviver no. 1,brandy,2 oz,cognac,1 oz,"calvados, apple brandy, or applejack",1 oz,sweet vermouth,,,,,,,cocktail glass
thanksgiving special cocktail,cocktail classics,3/4 oz,old mr. boston apricot flavored brandy,3/4 oz,old mr. boston dry gin,3/4 oz,dry vermouth,1/4 oz,lemon juice,,,,,cocktail glass
tequini cocktail,cocktail classics,1 1/2 oz,old mr. boston tequila,1/2 oz,dry vermouth,1 oz,bitters,,,,,,,cocktail glass
bordeaux cocktail,vodka,1 1/2 oz,citrus-flavored vodka,1/2 oz,lillet blanc,,lemon twist,,,,,,,cocktail glass
bolshoi punch,vodka,1 oz,vodka,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1/2 oz,light rum,1/2 oz,creme de cassis,,,old-fashioned glass
blue lagoon,vodka,1 oz,vodka,1 oz,blue curacao,1/2 oz,fresh lemon juice,1/2 oz,simple syrup,,maraschino cherry,,,highball glass
stinger cocktail,cocktail classics,1/2 oz,old mr. boston white creme de menthe,1 1/2 oz,old mr. boston five star brandy,,,,,,,,,cocktail glass
bloody mary,vodka,1 1/2 oz,vodka,3 oz,tomato juice,1/4 oz,fresh lime juice,4 oz,worcestershire sauce,2 -  3 drops,hot red pepper sauce,,"freshly ground black pepper to taste, lime wedge, celery stalk",old-fashioned glass
spritzer highball,cocktail classics,3 oz,chilled rhine wine or sauterne,,carbonated water,,,,,,,,,highball glass
bloody bull,vodka,1 oz,vodka,2 oz,tomato juice,2 oz,cold beef bouillon,"lemon wedge, lime wheel",,,,,,highball glass
the blood orange,vodka,2 oz,orange-flavored vodka,1 oz,campari,,blood or navel orange half-wheel,,,,,,,cocktail glass
black russian,vodka,1 1/2 oz,vodka,3/4 oz,coffee liqueur,,,,,,,,,old-fashioned glass
black magic,vodka,1 1/2 oz,vodka,3/4 oz,coffee liqueur,1/4 oz,fresh lemon juice,lemon twist,,,,,,old-fashioned glass
black cherry chocolate,vodka,1 1/4 oz,black cherry-flavored vodka,3/4 oz,white chocolate liqueur,3/4 oz,black cherry juice,,,,,,,cocktail glass
victor collins,cocktail classics,1 1/2 oz,old mr. boston vodka,3 oz,unsweetened grape juice,3 oz,lemon juice,1 oz,powdered sugar,,,,,collins glass
snowball cocktail,cocktail classics,1 1/2 oz,old mr. boston dry gin,1/2 oz,old mr. boston anisette,1 oz,sweet cream,,,,,,,cocktail glass
violet fizz,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,old mr. boston dry gin,1 oz,creme yvette,,,,,highball glass
bikini,vodka,1 oz,vodka,1/2 oz,light rum,1/2 oz,fresh lemon juice,1/2 oz,milk,1/2 oz,simple syrup,,lemon twist,cocktail glass
cold deck cocktail,brandy,1 oz,brandy,1/2 oz,sweet vermouth,1 oz,white creme de menthe,,,,,,,cocktail glass
the big crush,vodka,1 oz,raspberry-flavored vodka,1/2 oz,triple sec,1/2 oz,raspberry-flavored liqueur,1/2 oz,fresh lime juice,,chilled champagne,,fresh blackberries and raspberries,cocktail glass
bianca,vodka,for glass,"lime wedge, superfine sugar",1 1/2 oz,citrus-flavored vodka,2 oz,pomegranate juice,1/4 oz,fresh lime juice,1 oz,simple syrup,1 oz,"fresh lemon juice, lemon twiste, fresh pomegranate seeds",cocktail glass
bella fragolia,vodka,1 oz,"strawberry, chopped",4 oz,fresh basil leaves,2 oz,vodka,1 oz,fresh lemon juice,1 oz,simple syrup,,"soda water, strawberry slide, fresh basil leaf",old-fashioned glass
beer buster,vodka,1 1/2 oz,vodka,,chilled beer or ale,2 oz,hot red pepper sauce,,,,,,,highball glass
basil 8,vodka,3 oz,fresh basil leaves,5 oz,white grapes,1 1/2 oz,vodka,3/4 oz,fresh lime juice,1 oz,"each simple syrup, angostura bitters",,ginger ale,collins glass
shamrock cocktail,cocktail classics,1 1/2 oz,irish whiskey,1/2 oz,dry vermouth,1 oz,old mr. boston green creme de menthe,,,,,,,cocktail glass
aqueduct,vodka,1 1/2 oz,vodka,3/4 oz,fresh lime juice,1/2 oz,white curacao or triple sec,1/2 oz,apricot-flavored brandy,,orange twist,,,cocktail glass
scotch whisky highball,cocktail classics,2 oz,desmond & duff scotch whisky,,ginger ale,,lemon twist,,,,,,,highball glass
alfie cocktail,vodka,1 1/2 oz,lemon-flavored vodka,3/4 oz,pineapple juice,1/2 oz,triple sec,,,,,,,cocktail glass
admiral perry,vodka,2 oz,pear-flavored vodka,1 oz,cinnamon schnapps,1 oz,dry vermouth,1 oz,white creme de cacao,,thin pear slice,,,cocktail glass
yellow rose of texas,tequila,2 oz,blanco tequila,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1/4 oz,yellow chartreuse,3 oz,rose water,,,cocktail glass
st. patrick's day cocktail,cocktail classics,3/4 oz,old mr. boston green creme de menthe,3/4 oz,green chartreuse,3/4 oz,irish whiskey,1 oz,bitters,,,,,collins glass
purple twister,cocktail classics,2 oz,old mr. boston grape vodka,,cola,,lemon slice,,,,,,,collins glass
waiting on summer,tequila,3 oz,cucumber,3 oz,fresh sage leaves,1/2 oz,fresh lime juice,1 1/2 oz,blanco tequila,3/4 oz,simple syrup,3 oz,"ginger ale, strawberry slice",collins glass
cognac highball,brandy,2 oz,cognac,,ginger ale or soda water,,lemon twist (optional),,,,,,,highball glass
prince's smile cocktail,cocktail classics,1/2 oz,old mr. boston apricot flavored brandy,1/2 oz,apple brandy,1 oz,old mr. boston dry gin,1/4 oz,lemon juice,,,,,cocktail glass
viva villa,tequila,for glass,"lime wedge, coarse salt",1 1/2 oz,blanco tequila,1 oz,fresh lime juice,1/2 oz,simple syrup,,,,,old-fashioned glass
praire oyster cocktail,cordials and liqueurs,1 oz,old mr. boston five star brandy,1 oz,worcestershire sauce,1 oz,tomato catsup,1 oz,vinegar,1 oz,pepper,,,old-fashioned glass
praire chicken,cocktail classics,1 oz,old mr. boston dry gin,1 oz,whole egg,,pepper and salt,,,,,,,white-wine glass
venial sin,tequila,1 1/2 oz,blanco tequila,1/2 oz,mezcal,1/2 oz,yellow chartreuse,1/4 oz,elderflower liqueur,1/4 oz,maraschino liqueur,,,cocktail glass
vagabundo,tequila,2 oz,reposado blanco tequila,1 1/2 oz,pineapple juice,1 1/2 oz,fresh celery juice,1/2 oz,fresh lime juice,,lime wheel,,,hurricane glass
the 21st century,tequila,splash,absinthe,1 oz,absinthe,1 1/2 oz,blanco tequila,3/4 oz,fresh lime juice,3/4 oz,white creme de cacao,,,cocktail glass
pollyanna cocktail,cocktail classics,3 slices,orange peel,3 slices,pineapple,2 oz,old mr. boston dry gin,1/2 oz,sweet vermouth,1/2 tsp grenadine,,,,cocktail glass
toreador,tequila,1 1/2 oz,blanco tequila,1/2 oz,dark creme de cacao,1/2 oz,half-and-half,"whipped cream, cocoa",,,,,,cocktail glass
pink squirrel cocktail,cocktail classics,1 oz,mr. boston creme de noyaux,1 oz,old mr. boston white creme de cacao,1 oz,light sweet cream,,,,,,,cocktail glass
pink lady cocktail,cocktail classics,1 oz,egg white,1 oz,grenadine,1 oz,sweet cream,1 1/2 oz,old mr. boston dry gin,,,,,cocktail glass
tijuana taxi,tequila,2 oz,gold tequila,1 oz,blue curacao,1 oz,tropical fruit schnapps,lemon-lime soda,,,"orange wheel, maraschino cherry",,,highball glass
tia juanathan,tequila,1 1/2 oz,blanco tequila,1/2 oz,fresh lime juice,1/2 oz,aperol,1/2 oz,yellow chartreuse,,soda water,,orange half-wheel,highball glass
phoebe snow cocktail,cocktail classics,1 1/2 oz,dubonnet,1 1/2 oz,old mr. boston five star brandy,1/2 oz,absinthe substitute,,,,,,,cocktail glass
tequonic,tequila,2 oz,blanco tequila,1/4 oz,fresh lemon or lime juice,,tonic water,lemon or lime wedge,,,,,,old-fashioned glass
tequini,tequila,1 1/2 oz,blanco tequila,1/2 oz,dry vermouth,1 oz,angostura bitters,lemon twist,,,,,,cocktail glass
passion daiquiri cocktail,cocktail classics,1 1/2 oz,old mr. boston rum,1 oz,juice of a lime,1 oz,powdered sugar,1 oz,passion fruit juice,,,,,cocktail glass
parisian blonde cocktail,cocktail classics,3/4 oz,sweet cream,3/4 oz,old mr. boston triple sec,3/4 oz,jamaica rum,,,,,,,cocktail glass
tequila sunrise,tequila,2 oz,blanco tequila,4 oz,orange juice,3/4 oz,grenadine,,,,,,,highball glass
coffee grasshopper,brandy,3/4 oz,coffee-flavored brandy,3/4 oz,white creme de menthe,3/4 oz,half-and-half,,,,,,,old-fashioned glass
tequila straight,tequila,1 oz,coarse salt,1 1/2 oz,blanco tequila,1 oz,lime wedge,,,,,,,shot glass
tequila sour,tequila,2 oz,blanco tequila,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,"lemon half-wheel, maraschino cherry",,,,,,cordial or pony glass
tequila smash,tequila,4 oz,blueberries,4 oz,bing cherries,2 oz,blanco tequila,1/2 oz,maraschino liqueur,1/2 oz,fresh lime juice,,lime wheel skewered with blueberry and bing cherry,old-fashioned glass
tequila pink,tequila,1 1/2 oz,blanco tequila,1 oz,dry vermouth,1/4 oz,grenadine,,,,,,,cocktail glass
tequila old-fashioned,tequila,1 1/2 oz,blanco tequila,1 oz,simple syrup,1 oz,angostura bitters,1 oz,soda water,,lemon twist,,,old-fashioned glass
rob roy cocktail,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,desmond & duff scotch whisky,,,,,,,,,cocktail glass
tequila mockingbird,tequila,for glass,"lime wedge, coarse salt",1/4 oz,minced ginger,1 3/4 oz,blanco tequila,1 1/2 oz,agave nectar,1 oz,fresh lime juice,,lime wheel,cocktail glass
tequila matador,tequila,1 1/2 oz,blanco tequila,2 oz,pineapple juice,1/2 oz,fresh lime juice,,,,,,,champagne flute
tequila manhattan,tequila,2 oz,blanco tequila,1 oz,sweet vermouth,1 oz,angostura bitters,maraschino cherry,,,,,,old-fashioned glass
t.n.t. cocktail,cocktail classics,1 1/2 oz,old thompson blended whiskey,1 1/2 oz,absinthe substitute,,,,,,,,,cocktail glass
thunderclap cocktail,cocktail classics,3/4 oz,old mr. boston dry gin,3/4 oz,old thompson blended whiskey,3/4 oz,old mr. boston five star brandy,,,,,,,cocktail glass
thunder cocktail,cocktail classics,1 oz,powdered sugar,1 oz,egg yolk,1 1/2 oz,old mr. boston five star brandy,1 oz,cayenne pepper,,,,,cocktail glass
tequila collins,tequila,2 oz,blanco tequila,1/2 oz,fresh lemon juice,1/2 oz,simple syrup,soda water,,,"lemon wheel, orange wheel, maraschino cherry",,,collins glass
white lady cocktail,cocktail classics,1 oz,egg white,1 oz,powdered sugar,1 oz,sweet cream,1 1/2 oz,old mr. boston dry gin,,,,,cocktail glass
tequila canyon,tequila,1 1/2 oz,blanco tequila,1/4 oz,triple sec,1 oz,cranberry juice,1 oz,pineapple juice,1 oz,orange juice,,lime wheel,collins glass
chicago cocktail,brandy,for glass,"lemon wedge, superfine sugar",1 oz,brandy,1/2 oz,fresh lemon juice,1/4 oz,orange curacao,1/4 oz,maraschino liqueur,,,old-fashioned glass
sunday confession,tequila,1 oz,blanco tequila,1 oz,limoncello,1/2 oz,fresh lemon juice,ginger beer,,,lemon wedge,,,collins glass
