name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
gauguin,cocktail classics,2 oz,light rum,1 oz,passion fruit syrup,1 oz,lemon juice,1 oz,lime juice,,,,,old-fashioned glass
fort lauderdale,cocktail classics,1 1/2 oz,light rum,1/2 oz,sweet vermouth,1/4 oz,juice of orange,1/4 oz,juice of a lime,,,,,old-fashioned glass
apple pie,cordials and liqueurs,3 oz,apple schnapps,1 oz,cinnamon schnapps,,apple slice,,,,,,,old-fashioned glass
cuban cocktail no. 1,cocktail classics,1/2 oz,juice of a lime,1/2 oz,powdered sugar,2 oz,light rum,,,,,,,cocktail glass
cool carlos,cocktail classics,1 1/2 oz,dark rum,2 oz,cranberry juice,2 oz,pineapple juice,1 oz,orange curacao,1 oz,sour mix,,,collins glass
john collins,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,soda water,1 oz,"orange and lemon wheels, maraschino cherry",,,collins glass
cherry rum,cocktail classics,1 1/4 oz,light rum,1 1/2 oz,cherry-flavored brandy,1 oz,light cream,,,,,,,cocktail glass
casa blanca,cocktail classics,2 oz,light rum,1 1/2 oz,lime juice,1 1/2 oz,triple sec,1 1/2 oz,maraschino,,,,,cocktail glass
caribbean champagne,cocktail classics,1/2 oz,light rum,1/2 oz,creme de banana,,chilled champagne,,,,,,,champagne flute
amber amour,cordials and liqueurs,1 1/2 oz,amaretto,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,,soda water,maraschino cherry,,,,collins glass
the joe lewis,whiskies,1 1/2 oz,scotch whiskey,1 oz,fresh carrot juice,3/4 oz,tawny port,1/2 oz,fresh lemon juice,1 oz,agave nectar,,,cocktail glass
bacardi cocktail,cocktail classics,1 1/2 oz,bacardi rum,1/2 oz,juice of a lime,1/2 oz,grenadine,,,,,,,cocktail glass
apple pie no. 1,cocktail classics,3/4 oz,light rum,3/4 oz,sweet vermouth,1 oz,apple brandy,1/2 oz,grenadine,1 oz,lemon juice,,,cocktail glass
yolanda,cocktail classics,1/2 oz,brandy,1/2 oz,gin,1/2 oz,anisette,1 oz,sweet vermouth,1 oz,grenadine,,,cocktail glass
yellow rattler,cocktail classics,1 oz,gin,1 oz,orange juice,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,cocktail glass
why not?,cocktail classics,1 oz,gin,1 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,lemon juice,,,,,cocktail glass
amaretto stinger,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,white creme de menthe,,,,,,,,,cocktail glass
what the hell,cocktail classics,1 oz,gin,1 oz,dry vermouth,1 oz,apricot flavored brandy,1 oz,lemon juice,,,,,old-fashioned glass
webster cocktail,cocktail classics,1/2 oz,juice of a lime,1 1/2 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,gin,,,,,cocktail glass
union jack cocktail,cocktail classics,3/4 oz,sloe gin,1 1/2 oz,gin,1/2 oz,grenadine,,,,,,,cocktail glass
jocose julep,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,green creme de menthe,1 oz,fresh lime juice,1/2 oz,simple syrup,5 oz,fresh mint leaves,,soda water,collins glass
trinity cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,cocktail glass
three stripes cocktail,cocktail classics,1 oz,gin,1/2 oz,dry vermouth,1 oz,orange juice,,,,,,,cocktail glass
tanq-a-rita,cocktail classics,1 1/2 oz,tanqueray gin,3 oz,margarita mix,1 oz,triple sec,,,,,,,cocktail glass
amaretto sour,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1,orange half-wheel,,,,,cordial or pony glass
tailspin cocktail,cocktail classics,3/4 oz,gin,3/4 oz,sweet vermouth,3/4 oz,green chartreuse,1 oz,orange bitters,,,,,cocktail glass
sweet patootie cocktail,cocktail classics,1 oz,gin,1/2 oz,triple sec,1 oz,orange juice,,,,,,,cocktail glass
sunshine cocktail,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,gin,1 oz,bitters,,,,,,,cocktail glass
spring feeling cocktail,cocktail classics,1 oz,lemon juice,1/2 oz,green chartreuse,1 oz,gin,,,,,,,cocktail glass
sphinx cocktail,cocktail classics,1 1/2 oz,gin,1 1/2 oz,sweet vermouth,1 1/2 oz,dry vermouth,,,,,,,cocktail glass
jitterbug sour,whiskies,2 oz,straight rye whiskey,1/2 oz,benedictine,3/4 oz,fresh lemon juice,1/2 oz,honey syrup,1 oz,egg white,1 dash,angostura bitters,cocktail glass
southern gin cocktail,cocktail classics,2 oz,gin,2 oz,orange bitters,1/2 oz,triple sec,,,,,,,cocktail glass
society cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,1/4 oz,grenadine,,,,,,,cocktail glass
snyder,cocktail classics,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,triple sec,,,,,,,cocktail glass
smiler cocktail,cocktail classics,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1 oz,gin,1 oz,bitters,1/4 oz,orange juice,,,cocktail glass
smile cocktail,cocktail classics,1 oz,grenadine,1 oz,gin,1/2 oz,lemon juice,,,,,,,cocktail glass
amaretto rose,cordials and liqueurs,1 1/2 oz,amaretto,1/2 oz,fresh lemon juice,1/2 oz,simple syrup,,soda water,,,,,collins glass
sand-martin cocktail,cocktail classics,1 oz,green chartreuse,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,cocktail glass
irish whiskey highball,whiskies,2 oz,irish whiskey,1 oz,ginger ale or soda water,1 oz,lemon twist (optional),,,,,,,highball glass
japanese,brandy,2 oz,brandy,1/2 oz,orgeat or almond syrup,2 oz,angostura bitters,,lemon twist,,,,,cocktail glass
roselyn cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,1/2 oz,grenadine,,,,,,,cocktail glass
resolute cocktail,cocktail classics,1/4 oz,juice of a lemon,1/2 oz,apricot flavored brandy,1 oz,gin,,,,,,,cocktail glass
racquet club cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,1 oz,orange bitters,,,,,,,cocktail glass
amaretto and cream,cordials and liqueurs,1 1/2 oz,amaretto,1 1/2 oz,half-and-half,,,,,,,,,cocktail glass
pollyanna cocktai,cocktail classics,3 oz,orange,3 oz,pineapple,2 oz,gin,1/2 oz,sweet vermouth,1/2 oz,grenadine,,,cocktail glass
plaza cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,cocktail glass
irish whiskey cocktail,whiskies,2 oz,irish whiskey,1/2 oz,triple sec,1/2 oz,anisette,1/4 oz,maraschino liqueur,1 oz,angostura bitters,1,green olive,cocktail glass
absinthe special cocktail,cordials and liqueurs,1 1/2 oz,absinthe,1/4 oz,simple syrup,1 oz,orange bitters,,,,,,,cocktail glass
nineteenth hole,cocktail classics,1 1/2 oz,gin,1 oz,dry vermouth,1 oz,sweet vermouth,1 oz,bitters,,,,,cocktail glass
montreal club bouncer,cocktail classics,1 1/2 oz,gin,1/2 oz,anisette,,,,,,,,,old-fashioned glass
monte carlo imperial highball,cocktail classics,2 oz,gin,1/2 oz,white creme de menthe,1/4 oz,juice of a lemon,,chilled champagne,,,,,highball glass
irish shillelagh,whiskies,1 1/2 oz,irish whiskey,1 oz,light rum,1/2 oz,sloe gin,1 oz,fresh lemon juice,1/2 oz,simple syrup,1,"fresh raspberries and strawberries, 2 peach slices, maraschino cherry",irish coffee glass
melon cocktail,cocktail classics,2 oz,gin,1/4 oz,lemon juice,1/4 oz,maraschino,,,,,,,cocktail glass
martini (medium),cocktail classics,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,,,
martini (dry) (5-to-1),cocktail classics,1 2/3 oz,gin,1/3 oz,dry vermouth,,,,,,,,,
mamie's sister,cocktail classics,1 oz,juice of a lime,2 oz,gin,,ginger ale,,,,,,,collins glass
irish rickey,whiskies,1 1/2 oz,irish whiskey,1/2 oz,fresh lime juice,1 oz,soda water,1 oz,lime wedge,,,,,highball glass
maiden's prayer,cocktail classics,1 1/2 oz,gin,1/2 oz,triple sec,1 oz,lemon juice,,,,,,,cocktail glass
lone tree cocktail,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,,,cocktail glass
london buck,cocktail classics,2 oz,gin,1/2 oz,juice of a lemon,,ginger ale,,,,,,,highball glass
leap frog highball,cocktail classics,1/2 oz,juice of a lemon,2 oz,gin,,ginger ale,,,,,,,highball glass
incider cocktail,whiskies,1 1/2 oz,rye or bourbon whiskey,4 oz,apple cider,1 oz,apple slice,,,,,,,old-fashioned glass
kup's indispensable cocktail,cocktail classics,1/2 oz,light vermouth,1/2 oz,dry vermouth,1 1/2 oz,gin,1 oz,bitters,,,,,cocktail glass
knock-out cocktail,cocktail classics,1/2 oz,anisette,3/4 oz,gin,3/4 oz,dry vermouth,1 oz,creme de menthe (white),,,,,cocktail glass
k. g. b. cocktail,cocktail classics,1/2 oz,kummel,1 1/2 oz,gin,1/4 oz,apricot flavored brandy,1/4 oz,lemon juice,,,,,cocktail glass
imperial fizz,whiskies,1 1/2 oz,bourbon or rye whiskey,1/2 oz,light rum,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,soda water,,,highball glass
jeyplak cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,sweet vermouth,1/4 oz,anisette,,,,,,,cocktail glass
h. p. w. cocktail,cocktail classics,1 1/2 oz,dry vermouth,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,cocktail glass
i.a.p.,whiskies,2 oz,tennessee whiskey,1/4 oz,fernet-branca,3 oz,cola,,,,,,,collins glass
hotel plaza cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,cocktail glass
hoffman house cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,,,,,,,,,cocktail glass
hawaiin cocktail,cocktail classics,2 oz,gin,1 oz,pineapple juice,1/2 oz,triple sec,,,,,,,cocktail glass
white russian,vodka,2 oz,vodka,1 oz,coffee liqueur,,milk or half-and-half,,,,,,,old-fashioned glass
greyhound,cocktail classics,1 1/2 oz,gin,5 oz,grapefruit juice,,,,,,,,,highball glass
green devil,cocktail classics,1 1/2 oz,gin,1 1/2 oz,green creme de menthe,1 oz,lime juice,,,,,,,old-fashioned glass
greenback,cocktail classics,1 1/2 oz,gin,1 oz,green creme de menthe,1 oz,lemon juice,,,,,,,old-fashioned glass
grapefruit cocktail,cocktail classics,1 oz,grapefruit juice,1 oz,gin,1 oz,maraschino,,,,,,,cocktail glass
hotel d'alsace,whiskies,1 oz,fresh rosemary sprig,2 oz,irish whiskey,1/2 oz,benedictine,1/2 oz,triple sec,,,,,old-fashioned glass
jamaica granito,brandy,1 1/2 oz,brandy,1 oz,triple sec,1 oz,lemon or orange sherbet,soda water,,freshly grated nutmeg,,,,collins glass
gin sling,cocktail classics,1 oz,powdered sugar,1 oz,water,1/2 oz,juice of a lemon,2 oz,gin,,,,,old-fashioned glass
gin milk punch,cocktail classics,1 oz,powdered sugar,2 oz,gin,1 oz,milk,,,,,,,collins glass
horse's neck (with a kick),whiskies,1 oz,wide spiral of lemon zest,2 oz,bourbon whiskey,1 oz,ginger ale,,,,,,,collins glass
gin and it,cocktail classics,2 oz,gin,1 oz,sweet vermouth,,,,,,,,,cocktail glass
gin cocktail,cocktail classics,2 oz,gin,2 oz,bitters,,,,,,,,,cocktail glass
west side,vodka,1 1/2 oz,lemon-flavored vodka,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,6,fresh mint leaves,soda water,,,,cocktail glass
gimlet,cocktail classics,1 oz,lime juice,1 oz,powdered sugar,1 1/2 oz,gin,,,,,,,cocktail glass
free silver,cocktail classics,1/4 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,gin,1/2 oz,dark rum,1 oz,milk,,club soda,collins glass
frankenjack cocktail,cocktail classics,1 oz,gin,3/4 oz,dry vermouth,1/2 oz,apricot flavored brandy,1 oz,triple sec,1/2 oz,juice of a lime,1 1/2 oz,gin & ginger ale,cocktail glass
fog horn,cocktail classics,1/2 oz,juice of a lime,1 1/2 oz,gin & ginger ale,2 oz,gin,1 oz,triple sec,,,,,highball glass
flying dutchman,cocktail classics,2 oz,gin,1 oz,triple sec,,,,,,,,,old-fashioned glass
hoot mon cocktail,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,sweet vermouth,1 oz,benedictine,,lemon twist,,,,,cocktail glass
fifty-fifty cocktail,cocktail classics,1 1/2 oz,gin,1 1/2 oz,dry vermouth,,,,,,,,,cocktail glass
favorite cocktail,cocktail classics,3/4 oz,apricot flavored brandy,3/4 oz,dry vermouth,3/4 oz,gin,1/4 oz,lemon juice,,,,,cocktail glass
farmer's cocktail,cocktail classics,1 oz,gin,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,2 oz,bitters,,,,,cocktail glass
warsaw cocktail,vodka,1 1/2 oz,vodka,1/2 oz,blackberry-flavored brandy,1/2 oz,dry vermouth,1 oz,fresh lemon juice,,,,,cocktail glass
emerald isle cocktail,cocktail classics,2 oz,gin,1 oz,green creme de menthe,3 oz,bitters,,,,,,,cocktail glass
du barry cocktail,cocktail classics,1 oz,bitters,3/4 oz,dry vermouth,1/2 oz,anisette,1 1/2 oz,gin,,,,,cocktail glass
dry martini (5-to-1),cocktail classics,1 2/3 oz,gin,1/3 oz,dry vermouth,,,,,,,,,cocktail glass
dixie cocktail,cocktail classics,1/4 oz,juice of orange,1 oz,anisette,1/2 oz,dry vermouth,1 oz,gin,,,,,cocktail glass
delmonico no. 2,cocktail classics,1 oz,orange bitters,1 oz,dry vermouth,1 1/2 oz,gin,,,,,,,cocktail glass
hole-in-one,whiskies,1 3/4 oz,blended scotch whiskey,3/4 oz,dry vermouth,1/4 oz,fresh lemon juice,1 oz,orange bitters,,,,,cocktail glass
vodka stinger,vodka,1 oz,vodka,1 oz,white creme de menthe,,,,,,,,,cocktail glass
caruso,cocktail classics,1 1/2 oz,gin,1 oz,dry vermouth,1/2 oz,green creme de menthe,,,,,,,cocktail glass
bulldog highball,cocktail classics,1/2 oz,juice of orange,2 oz,gin,,ginger ale,,,,,,,highball glass
brown cocktail,cocktail classics,3/4 oz,gin,3/4 oz,light rum,3/4 oz,dry vermouth,,,,,,,cocktail glass
bronx terrace cocktail,cocktail classics,1 1/2 oz,gin,1 1/2 oz,dry vermouth,1/2 oz,juice of a lime,,,,,,,cocktail glass
bronx cocktail (dry),cocktail classics,1 oz,gin,1 oz,dry vermouth,1/4 oz,juice of orange,,,,,,,cocktail glass
hill dog,whiskies,1 1/2 oz,white whiskey,1/2 oz,grand marnier,1/2 oz,dry sherry,1/2 oz,lavender syrup,orange twist,,,,cocktail glass
blue devil cocktail,cocktail classics,1 oz,gin,1/2 or 1,juice of lemon or lime,1 oz,maraschino,1/2 oz,blue curacao,,,,,cocktail glass
blue canary,cocktail classics,3/4 oz,gin,3 oz,grapefruit juice,1 oz,blue curacao,,,,,,,cocktail glass
blue bird,cocktail classics,1 1/2 oz,gin,1/2 oz,triple sec,1 oz,bitters,,,,,,,cocktail glass
bloodhound cocktail,cocktail classics,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,1 oz,gin,,,,,,,cocktail glass
billy taylor,cocktail classics,1/2 oz,juice of a lime,2 oz,gin,,club soda,,,,,,,collins glass
bijou cocktail,cocktail classics,3/4 oz,gin,3/4 oz,green chartreuse,3/4 oz,sweet vermouth,1 oz,orange bitters,,,,,cocktail glass
bermuda rose,cocktail classics,1 1/4 oz,gin,1 1/2 oz,apricot flavored brandy,1 1/2 oz,grenadine,,,,,,,cocktail glass
vodka sour,vodka,2 oz,vodka,2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,"lemon half-wheel, maraschino cherry",,,,cocktail glass
apricot anisette collins,cocktail classics,1 1/2 oz,gin,1/2 oz,apricot flavored brandy,1 1/2 oz,anisette,1 oz,lemon juice,club soda,,,,collins glass
alexander's sister cocktail,cocktail classics,1 oz,dry gin,1 oz,green creme de menthe,1 oz,light cream,,,,,,,cocktail glass
highland cooler,whiskies,2 oz,blended scotch whiskey,1/2 oz,simple syrup,,soda water or ginger ale,,lemon and/or orange zest spiral(s),,,,,collins glass
alexander cocktail no. 1,cocktail classics,1 oz,gin,1 oz,creme de cacao (white),1 oz,light cream,,,,,,,cocktail glass
adam and eve,cocktail classics,1 oz,forbidden fruit,1 oz,gin,1 oz,brandy,1 oz,lemon juice,,,,,cocktail glass
vodka sling,vodka,2 oz,vodka,1 oz,fresh lemon juice,1/2 oz,simple syrup,,orange twist,,,,,old-fashioned glass
jack rose cocktail,brandy,1 1/2 oz,applejack,1/2 oz,fresh lime juice,1/4 oz,grenadine,,,,,,,cocktail glass
tempter cocktail,cocktail classics,1 oz,port,1 oz,apricot flavored brandy,,,,,,,,,cocktail glass
special rough cocktail,cocktail classics,1 1/2 oz,apple brandy,1 1/2 oz,brandy,1/2 oz,anisette,,,,,,,cocktail glass
vodka grasshopper,vodka,3/4 oz,vodka,3/4 oz,green creme de menthe,3/4 oz,white creme de cacao,3/4 oz,half-and-half,,,,,cocktail glass
singapore sling,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,gin,,club soda,1/2 oz,cherry-flavored brandy,,,collins glass
saratoga cocktail,cocktail classics,2 oz,brandy,2 oz,bitters,1 oz,lemon juice,1 oz,pineapple juice,1/2 oz,maraschino,,,cocktail glass
high cotton,whiskies,2 oz,straight rye whiskey,1/2 oz,pimm's no. 1 cup,1/2 oz,dubonnet rouge,2 oz,peach bitters,"lemon twist, fresh mint sprig",,,,cocktail glass
polonaise,cocktail classics,1 1/2 oz,brandy,1 oz,blackberry-flavored brandy,1/2 oz,dry sherry,1 oz,lemon juice,,,,,old-fashioned glass
vodka gimlet,vodka,1 1/2 oz,vodka,1 oz,fresh lime juice,1/2 oz,simple syrup,,,,,,,cocktail glass
merry widow cocktail no. 2,cocktail classics,1 1/4 oz,maraschino,1 1/4 oz,cherry-flavored brandy,,,,,,,,,cocktail glass
lugger,cocktail classics,1 oz,brandy,1 oz,apple brandy,1 oz,apricot flavored brandy,,,,,,,cocktail glass
jamaica hop,cocktail classics,1 oz,coffee-flavored brandy,1 oz,creme de cacao (white),1 oz,light cream,,,,,,,cocktail glass
hebrides,whiskies,1 1/2 oz,single-malt scotch whisky,1/2 oz,maraschino liqueur,1/2 oz,triple sec,2 oz,apple juice,1/2 oz,fresh lemon juice,1 oz,angostura bitters,collins glass
hennessy martini,cocktail classics,2 oz,hennessy v.s cognac,1/2 oz,lemon juice,,,,,,,,,cocktail glass
vodka daisy,vodka,2 oz,vodka,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,grenadine,fresh seasonal fruit,,,,beer mug
heavenly dram,whiskies,2 oz,single-malt scotch whisky,1/2 oz,pedro ximenez sherry,3/4 oz,fresh lemon juice,1/4 oz,honey syrup,lemon twist,,,,cocktail glass
classic cocktail,cocktail classics,1/4 oz,juice of a lemon,1 1/2 oz,curacao,1 1/2 oz,maraschino,1 oz,brandy,,,,,old-fashioned glass
cherry sling,cocktail classics,2 oz,cherry-flavored brandy,1/2 oz,juice of a lemon,,,,,,,,,old-fashioned glass
cherry fizz,cocktail classics,1/2 oz,juice of a lemon,2 oz,cherry-flavored brandy,,club soda,,,,,,,highball glass
vodka cooler,vodka,2 oz,vodka,1/2 oz,simple syrup,,soda water or ginger ale,,orange and/or lemon zest spiral,,,,,collins glass
carrol cocktail,cocktail classics,1 1/2 oz,brandy,3/4 oz,sweet vermouth,,,,,,,,,cocktail glass
button hook cocktail,cocktail classics,1/2 oz,creme de menthe (white),1/2 oz,apricot flavored brandy,1/2 oz,anisette,1/2 oz,brandy,,,,,cocktail glass
bull's eye,cocktail classics,1 oz,brandy,2 oz,hard cider,ginger ale,,,,,,,,highball glass
brantini,cocktail classics,1 1/2 oz,brandy,1 oz,gin,1 oz,dry vermouth,,,,,,,old-fashioned glass
heather's kiss,whiskies,2 1/4 oz,blended scotch whiskey,1/2 oz,fresh lemon juice,1/4 oz,agave nectar,1 oz,absinthe,apple slice,,,,cocktail glass
brandy squirt,cocktail classics,1 1/2 oz,brandy,1 oz,powdered sugar,1 oz,grenadine,,club soda,,,,,highball glass
brandy and soda,cocktail classics,2 oz,brandy,,club soda,,,,,,,,,collins glass
brandy milk punch,cocktail classics,1 oz,powdered sugar,2 oz,brandy,1 oz,milk,,,,,,,collins glass
vodka collins,vodka,2 oz,vodka,3/4 oz,fresh lemon juice,3/4 oz,simple syrup,,soda water,"lemon and orange wheels, maraschino cherry",,,,collins glass
brandy crusta cocktail,cocktail classics,1 oz,maraschino,1 oz,bitters,1 oz,lemon juice,1/2 oz,triple sec,2 oz,brandy,,,cocktail glass
heather blush,whiskies,1 oz,blended scotch whiskey,1 oz,strawberry liqueur,3 oz,chilled sparkling wine,,whole strawberry,,,,,champagne flute
jack maples,brandy,2 oz,applejack,1 oz,maple syrup (grade b or medium-amber),1 oz,aromatic bitters,,cinnamon stick,,,,,cocktail glass
brandy alexander,cocktail classics,1/2 oz,creme de cacao (brown),1/2 oz,brandy,1/2 oz,heavy cream,,,,,,,cocktail glass
vodka and tonic,vodka,2 oz,vodka,,tonic water,,lemon or lime wedge,,,,,,,highball glass
apricot cocktail,cocktail classics,1/4 oz,juice of a lemon,1/4 oz,juice of orange,1 1/2 oz,apricot flavored brandy,1 oz,gin,,,,,cocktail glass
alexander cocktail no. 2,cocktail classics,1 oz,creme de cacao (white),1 oz,brandy,1 oz,light cream,,,,,,,cocktail glass
after dinner cocktail,cocktail classics,1 oz,apricot flavored brandy,1 oz,triple sec,1 oz,juice of a lime,,,,,,,cocktail glass
harvest moon,whiskies,1 1/2 oz,straight rye whiskey,1 oz,lillet blanc,1/2 oz,apple brandy,1/4 oz,green chartreuse,2 oz,angostura bitters,,orange twist,cocktail glass
red raider,cocktail classics,1 oz,bourbon,1/2 oz,triple sec,1 oz,lemon juice,1 oz,grenadine,,,,,cocktail glass
vodka and apple juice,vodka,2 oz,vodka,,apple juice,,,,,,,,,highball glass
mint julep (southern style),cocktail classics,5 or 6,springs mint,1 oz,powdered sugar,2 oz,water,2 1/2 oz,bourbon,,,,,collins glass
limestone,cocktail classics,1 1/2 oz,bourbon,,collins mix,,lime juice,,,,,,,highball glass
grounds for divorce,whiskies,1 1/2 oz,straight rye whiskey,3/4 oz,kirschwasser,1/4 oz,cynar,1/2 oz,amaro,orange twist,,,,cocktail glass
gentleman's cocktail,cocktail classics,1 1/2 oz,bourbon,1/2 oz,brandy,1/2 oz,creme de menthe,,club soda,,,,,highball glass
dixie julep,cocktail classics,1 oz,powdered sugar,2 1/2 oz,bourbon,,,,,,,,,collins glass
victory collins,vodka,1 1/2 oz,vodka,2 oz,unsweetened grape juice,1 oz,fresh lemon juice,1/2 oz,simple syrup,orange half-wheel,,,,collins glass
buddy's favorite,cocktail classics,1 1/2 oz,bourbon,6 oz,cold water,,,,,,,,,highball glass
bourbon on the rocks,cocktail classics,2 oz,bourbon,,,,,,,,,,,old-fashioned glass
bourbon cobbler,cocktail classics,2 1/2 oz,bourbon,1 oz,lemon juice,2 oz,grapefruit juice,1 1/2 oz,almond extract,,,,,old-fashioned glass
bourbon and water,cocktail classics,2 oz,bourbon,4 oz,water,,,,,,,,,old-fashioned glass
greenpoint,whiskies,2 oz,straight rye whiskey,1/2 oz,yellow chartreuse,1/2 oz,sweet vermouth,1 oz,angostura bitters,1 oz,orange bitters,,lemon twist,cocktail glass
yellowjacket,non-alcoholic drinks,2 oz,pineapple juice,2 oz,orange juice,1/2 oz,lemon juice,,,,,,,old-fashioned glass
velvet peach hammer,vodka,1 3/4 oz,vodka,3/4 oz,peach schnapps,1/4 oz,simple syrup,1/2 oz,fresh lemon juice,peach slice,,,,old-fashioned glass
grandfather,whiskies,1 oz,bourbon whiskey,1 oz,applejack,1 oz,sweet vermouth,1 oz,angostura bitters,1 oz,peychaud's bitters,,maraschino cherry,cocktail glass
goldrush,whiskies,2 oz,bourbon whiskey,3/4 oz,fresh lemon juice,1 oz,honey syrup,,,,,,,old-fashioned glass
sake martini,cocktail classics,1 oz,sake,3 oz,mr. boston gin,,,,,,,,,cocktail glass
godfather,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,amaretto,,,,,,,,,old-fashioned glass
jack-in-the-box,brandy,1 oz,applejack,1 oz,pineapple juice,1 oz,angostura bitters,,,,,,,cocktail glass
saronno,cocktail classics,1 oz,amaretto di saronno,1 oz,mr. boston five star brandy,1 oz,light cream,,,,,,,cocktail glass
saronno colada (nutty colada),cocktail classics,3 oz,amaretto di saronno,3 oz,coconut milk,3 oz,crushed pineapple,,,,,,,collins glass
saronno mist,cocktail classics,1 1/2 oz,amaretto di saronno,,,,,,,,,,,old-fashioned glass
saronno rose,cocktail classics,1 1/2 oz,amaretto di saronno,1/2 oz,roses lime juice,1 oz,club soda,,,,,,,collins glass
gilchrist,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,pear brandy,3/4 oz,grapefruit juice,1/2 oz,amaro,2 oz,grapefruit bitters,,lemon twist,cocktail glass
frisco sour,whiskies,2 oz,bourbon or rye whiskey,3/4 oz,fresh lemon juice,1/2 oz,fresh lime juice,1/2 oz,benedictine,1 oz,lemon and lime wheels,,,cordial or pony glass
fratelli cocktail,whiskies,2 oz,straight rye whiskey,1/2 oz,sweet vermouth,1/2 oz,yellow chartreuse,1/4 oz,fernet-branca,,,,,cocktail glass
francis the mule,whiskies,2 oz,bourbon whiskey,1/2 oz,coffee liqueur,1/2 oz,fresh lemon juice,1/4 oz,orgeat or almond syrup,2 oz,orange bitters,,lemon twist,cocktail glass
fox river cocktail,whiskies,2 oz,bourbon or rye whiskey,1/2 oz,dark creme de cacao,4 oz,angostura bitters,,,,,,,cocktail glass
flying scotchman,whiskies,1 oz,blended scotch whiskey,1 oz,sweet vermouth,1 oz,angostura bitters,1/4 oz,simple syrup,,,,,cocktail glass
the final ward,whiskies,3/4 oz,straight rye whiskey,3/4 oz,maraschino liqueur,3/4 oz,green chartreuse,3/4 oz,fresh lemon juice,,,,,cocktail glass
martini,cocktail classics,1 1/2 oz,mr. boston gin,3/4 oz,dry vermouth,,,,,,,,,cocktail glass
fancy whiskey,whiskies,2 oz,bourbon or rye whiskey,1 oz,angostura bitters,1/4 oz,triple sec,1/4 oz,simple syrup,1 oz,lemon twist,,,cocktail glass
mandarine sour,cocktail classics,2 oz,mandarine napoleon liqueur,1 oz,lemon juice,,,,,,,,,sour glass
mandarine mist,cocktail classics,1 1/2 oz,mandarine napoleon liqueur,,,,,,,,,,,old-fashioned glass
underneath the mango tree,vodka,for glass,"lime wedge, sweet chili powder",1 oz,mango-flavored vodka,1/2 oz,peach liqueur,3/4 oz,fresh lime juice,1/2 oz,simple syrup,2 oz,ginger ale,collins glass
fancy-free cocktail,whiskies,2 oz,bourbon whiskey,1/2 oz,maraschino liqueur,1 oz,angostura bitters,1 oz,orange bitters,,,,,cocktail glass
honeymoon cocktail,brandy,3/4 oz,apple brandy,3/4 oz,benedictine,3/4 oz,fresh lemon juice,1/2 oz,triple sec,,,,,cocktail glass
twister,vodka,2 oz,vodka,1/2 oz,fresh lime juice,,lime wedge,,lemon-lime soda,,,,,collins glass
everybody's irish cocktail,whiskies,2 oz,irish whiskey,1 oz,green creme de menthe,1 oz,green chartreuse,1 oz,green olive,,,,,cocktail glass
